あ
あーけーど アーケード
よんりんくどう 四輪駆動
ラーメン
ラーメン二郎
ラー油
ライオン
ライトノベル
ライト級
らいばる ライバル
ライム
らくがん
らくご 落語
らくせきちゅうい 落石注意
らくだ ラクダ
らくだい 落第
らくてんてき 楽天的
ラグビー
ラジオ体操
らしょうもん 羅生門
らしんばん 羅針盤
ラストスパート
ラスボス
ラッキーアイテム
ラッキーパンチ
ラッシュアワー
ラップ音
ラテン語
ラベルシート
らんきりゅう 乱気流
らんすう 乱数
ランデブー
ランナーズハイ
ランニング
らんはんしゃ 乱反射
リアルタイム
リア王
リア充
リーダー
りかねんぴょう 理科年表
りきがく 力学
リコリス
りじちょう 理事長
リストラ
リズムゲーム
リセットボタン
りそく 利息
リチウム
リットル
りっぽうたい 立方体
リトマス試験紙
リバーシブル
リハーサル
リピーター
リボン
りゅうがく 留学
りゅうぐうじょう 竜宮城
りゅうこうご 流行語
りゅうせいぐん 流星群
りゅうぼく 流木
リュックサック
りょうしりきがく 量子力学
りょうやくはくちににがし 良薬は口に苦し
りょうりにん 料理人
りょくちゃ 緑茶
リレー
りれきしょ 履歴書
リングサイド
リンゴ
りんじきゅうぎょう 臨時休業
りんしたいけん 臨死体験
リンボーダンス
るいじんえん 類人猿
ルーズソックス
ルールブック
ルーレット
るすばん 留守番
ルビー
ルンルン気分
れいきゃくふぁん 冷却ファン
れいせいちんちゃく 冷静沈着
れいぞうこ 冷蔵庫
れいてん 0点
れいとうしょくひん 冷凍食品
れいばいし 霊媒師
レインコート
れーざーこうせん レーザー光線
レーズン
レース編み
れきしか 歴史家
レコード
レシート
レストラン
レスリング
レタス
れっかこぴー 劣化コピー
レッドスネークカモン
レプリカ
レベルアップ
レンガ
れんきゅう 連休
れんきんじゅつ 錬金術
れんこん
れんさはんのう 連鎖反応
れんしゃ 連射
れんしゅうもんだい 練習問題
れんしょうきろく 連勝記録
レンズ
れんにゅう 練乳
れんらくもう 連絡網
ろうじん 老人
ろうそく
ろうでん 漏電
ろうどうほう 労働法
ろうや 牢屋
ろーどらんなー ロードランナー
ろーぷ ロープ
ろーまじ ローマ字
ろーまほうおう ローマ法王
ろぐあうと ログアウト
ろぐいん ログイン
ろくおん 録音
ろくじゅっぷん 60分
ろくろくび ろくろ首
ろけっとらんちゃー ロケットランチャー
ろしあ ロシア
ろっかっけい 六角形
ろっきーさんみゃく ロッキー山脈
ロッククライミング
ろっくんろーる ロックンロール
ろてんぶろ 露天風呂
ろば ロバ
ろびいすと ロビイスト
ろぼっと ロボット
ろみおとじゅりえっと ロミオとジュリエット
ろんぐかん ロング缶
ろんぶん 論文
ろんりがく 論理学
わーぷ ワープ
わーぷろ ワープロ
わいしゃつ ワイシャツ
わいどしょー ワイドショー
わいぱー ワイパー
わいふぁい ワイファイ Wi-Fi
わいろ 賄賂
わいん ワイン
わがみちをゆく 我が道を行く
わかめ
わかれみち 分かれ道
わきみず 湧き水
わくせいちょくれつ 惑星直列
わくわく
わけへだて 分け隔て
わごむ 輪ゴム
わさび ワサビ
わたあめ
わだいこ 和太鼓
わっくす ワックス
わっふる ワッフル
わなげ 輪投げ
わびさび
わようせっちゅう 和洋折衷
わらいぶくろ 笑い袋
わらび餅
わら人形
わりかん 割り勘
わりばし 割りばし
わるだくみ 悪だくみ
わるぢえ 悪知恵
わるのり 悪ノリ
わんあっぷ 1UP
わんこそば
わんぱく
わんぺあ ワンペア
ん
